longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,bedroom_room_ration
-122.23,37.88,41.0,880.0,129.0,322,126.0,8.3252,452600.0,NEAR BAY,0.14659090909090908
-122.22,37.86,21.0,7099.0,1106.0,2401,1138.0,8.3014,358500.0,NEAR BAY,0.15579659106916466
-122.24,37.85,52.0,1467.0,190.0,496,177.0,7.2574,352100.0,NEAR BAY,0.12951601908657123
-122.25,37.85,52.0,1274.0,235.0,558,219.0,5.6431,341300.0,NEAR BAY,0.18445839874411302
-122.25,37.85,52.0,1627.0,280.0,565,259.0,3.8462,342200.0,NEAR BAY,0.1720958819913952
-122.25,37.85,52.0,919.0,213.0,413,193.0,4.0368,269700.0,NEAR BAY,0.23177366702937977
-122.25,37.84,52.0,2535.0,489.0,1094,514.0,3.6591,299200.0,NEAR BAY,0.19289940828402366
-122.25,37.84,52.0,3104.0,687.0,1157,647.0,3.12,241400.0,NEAR BAY,0.22132731958762886
-122.26,37.84,42.0,2555.0,665.0,1206,595.0,2.0804,226700.0,NEAR BAY,0.2602739726027397
-122.25,37.84,52.0,3549.0,707.0,1551,714.0,3.6912,261100.0,NEAR BAY,0.1992110453648915
-122.26,37.85,52.0,2202.0,434.0,910,402.0,3.2031,281500.0,NEAR BAY,0.19709355131698456
-122.26,37.85,52.0,3503.0,752.0,1504,734.0,3.2705,241800.0,NEAR BAY,0.2146731373108764
-122.26,37.85,52.0,2491.0,474.0,1098,468.0,3.075,213500.0,NEAR BAY,0.1902850260939382
-122.26,37.84,52.0,696.0,191.0,345,174.0,2.6736,191300.0,NEAR BAY,0.2744252873563218
-122.26,37.85,52.0,2643.0,626.0,1212,620.0,1.9167,159200.0,NEAR BAY,0.23685206205069997
-122.26,37.85,50.0,1120.0,283.0,697,264.0,2.125,140000.0,NEAR BAY,0.2526785714285714
-122.27,37.85,52.0,1966.0,347.0,793,331.0,2.775,152500.0,NEAR BAY,0.17650050864699898
-122.27,37.85,52.0,1228.0,293.0,648,303.0,2.1202,155500.0,NEAR BAY,0.23859934853420195
-122.26,37.84,50.0,2239.0,455.0,990,419.0,1.9911,158700.0,NEAR BAY,0.20321572130415363
-122.27,37.84,52.0,1503.0,298.0,690,275.0,2.6033,162900.0,NEAR BAY,0.19827012641383898
-122.27,37.85,40.0,751.0,184.0,409,166.0,1.3578,147500.0,NEAR BAY,0.24500665778961384
-122.27,37.85,42.0,1639.0,367.0,929,366.0,1.7135,159800.0,NEAR BAY,0.2239170225747407
-122.27,37.84,52.0,2436.0,541.0,1015,478.0,1.725,113900.0,NEAR BAY,0.22208538587848933
-122.27,37.84,52.0,1688.0,337.0,853,325.0,2.1806,99700.0,NEAR BAY,0.19964454976303317
-122.27,37.84,52.0,2224.0,437.0,1006,422.0,2.6,132600.0,NEAR BAY,0.19649280575539568
-122.28,37.85,41.0,535.0,123.0,317,119.0,2.4038,107500.0,NEAR BAY,0.22990654205607478
-122.28,37.85,49.0,1130.0,244.0,607,239.0,2.4597,93800.0,NEAR BAY,0.215929203539823
-122.28,37.85,52.0,1898.0,421.0,1102,397.0,1.808,105500.0,NEAR BAY,0.22181243414120128
-122.28,37.84,50.0,2082.0,492.0,1131,473.0,1.6424,108900.0,NEAR BAY,0.23631123919308358
-122.28,37.84,52.0,729.0,160.0,395,155.0,1.6875,132000.0,NEAR BAY,0.2194787379972565
-122.28,37.84,49.0,1916.0,447.0,863,378.0,1.9274,122300.0,NEAR BAY,0.23329853862212943
-122.28,37.84,52.0,2153.0,481.0,1168,441.0,1.9615,115200.0,NEAR BAY,0.22340919647004182
-122.27,37.84,48.0,1922.0,409.0,1026,335.0,1.7969,110400.0,NEAR BAY,0.21279916753381894
-122.27,37.83,49.0,1655.0,366.0,754,329.0,1.375,104900.0,NEAR BAY,0.22114803625377644
-122.27,37.83,51.0,2665.0,574.0,1258,536.0,2.7303,109700.0,NEAR BAY,0.2153846153846154
-122.27,37.83,49.0,1215.0,282.0,570,264.0,1.4861,97200.0,NEAR BAY,0.23209876543209876
-122.27,37.83,48.0,1798.0,432.0,987,374.0,1.0972,104500.0,NEAR BAY,0.24026696329254726
-122.28,37.83,52.0,1511.0,390.0,901,403.0,1.4103,103900.0,NEAR BAY,0.25810721376571805
-122.26,37.83,52.0,1470.0,330.0,689,309.0,3.48,191400.0,NEAR BAY,0.22448979591836735
-122.26,37.83,52.0,2432.0,715.0,1377,696.0,2.5898,176000.0,NEAR BAY,0.29399671052631576
-122.26,37.83,52.0,1665.0,419.0,946,395.0,2.0978,155400.0,NEAR BAY,0.25165165165165165
-122.26,37.83,51.0,936.0,311.0,517,249.0,1.2852,150000.0,NEAR BAY,0.33226495726495725
-122.26,37.84,49.0,713.0,202.0,462,189.0,1.025,118800.0,NEAR BAY,0.28330995792426367
-122.26,37.84,52.0,950.0,202.0,467,198.0,3.9643,188800.0,NEAR BAY,0.21263157894736842
-122.26,37.83,52.0,1443.0,311.0,660,292.0,3.0125,184400.0,NEAR BAY,0.21552321552321552
-122.26,37.83,52.0,1656.0,420.0,718,382.0,2.6768,182300.0,NEAR BAY,0.2536231884057971
-122.26,37.83,50.0,1125.0,322.0,616,304.0,2.026,142500.0,NEAR BAY,0.2862222222222222
-122.27,37.82,43.0,1007.0,312.0,558,253.0,1.7348,137500.0,NEAR BAY,0.3098311817279047
-122.26,37.82,40.0,624.0,195.0,423,160.0,0.9506,187500.0,NEAR BAY,0.3125
-122.27,37.82,40.0,946.0,375.0,700,352.0,1.775,112500.0,NEAR BAY,0.3964059196617336
-122.27,37.82,21.0,896.0,453.0,735,438.0,0.9218,171900.0,NEAR BAY,0.5055803571428571
-122.27,37.82,43.0,1868.0,456.0,1061,407.0,1.5045,93800.0,NEAR BAY,0.24411134903640258
-122.27,37.82,41.0,3221.0,853.0,1959,720.0,1.1108,97500.0,NEAR BAY,0.26482458863706926
-122.27,37.82,52.0,1630.0,456.0,1162,400.0,1.2475,104200.0,NEAR BAY,0.27975460122699386
-122.28,37.82,52.0,1170.0,235.0,701,233.0,1.6098,87500.0,NEAR BAY,0.20085470085470086
-122.28,37.82,52.0,945.0,243.0,576,220.0,1.4113,83100.0,NEAR BAY,0.2571428571428571
-122.28,37.82,52.0,1238.0,288.0,622,259.0,1.5057,87500.0,NEAR BAY,0.23263327948303716
-122.28,37.82,52.0,1489.0,335.0,728,244.0,0.8172,85300.0,NEAR BAY,0.22498321020819342
-122.28,37.82,52.0,1387.0,341.0,1074,304.0,1.2171,80300.0,NEAR BAY,0.24585436193222782
-122.29,37.82,2.0,158.0,43.0,94,57.0,2.5625,60000.0,NEAR BAY,0.2721518987341772
-122.29,37.83,52.0,1121.0,211.0,554,187.0,3.3929,75700.0,NEAR BAY,0.18822479928635147
-122.29,37.82,49.0,135.0,29.0,86,23.0,6.1183,75000.0,NEAR BAY,0.21481481481481482
-122.29,37.81,50.0,760.0,190.0,377,122.0,0.9011,86100.0,NEAR BAY,0.25
-122.3,37.81,52.0,1224.0,237.0,521,159.0,1.1909999999999998,76100.0,NEAR BAY,0.19362745098039216
-122.3,37.81,48.0,828.0,182.0,392,133.0,2.5938,73500.0,NEAR BAY,0.21980676328502416
-122.3,37.81,52.0,1010.0,209.0,604,187.0,1.1667,78400.0,NEAR BAY,0.20693069306930692
-122.3,37.81,48.0,1455.0,354.0,788,332.0,0.8056,84400.0,NEAR BAY,0.24329896907216494
-122.29,37.8,52.0,1027.0,244.0,492,147.0,2.6094,81300.0,NEAR BAY,0.23758519961051608
-122.3,37.81,52.0,572.0,109.0,274,82.0,1.8516,85000.0,NEAR BAY,0.19055944055944055
-122.29,37.81,46.0,2801.0,644.0,1823,611.0,0.9802,129200.0,NEAR BAY,0.22991788646911818
-122.29,37.81,26.0,768.0,152.0,392,127.0,1.7719,82500.0,NEAR BAY,0.19791666666666666
-122.29,37.81,46.0,935.0,297.0,582,277.0,0.7286,95200.0,NEAR BAY,0.3176470588235294
-122.29,37.81,49.0,844.0,204.0,560,152.0,1.75,75000.0,NEAR BAY,0.24170616113744076
-122.29,37.81,46.0,12.0,4.0,18,7.0,0.4999,67500.0,NEAR BAY,0.3333333333333333
-122.29,37.81,20.0,835.0,161.0,290,133.0,2.483,137500.0,NEAR BAY,0.19281437125748502
-122.28,37.81,17.0,1237.0,462.0,762,439.0,0.9241,177500.0,NEAR BAY,0.3734842360549717
-122.28,37.81,36.0,2914.0,562.0,1236,509.0,2.4464,102100.0,NEAR BAY,0.1928620452985587
-122.28,37.81,19.0,1207.0,243.0,721,207.0,1.1111,108300.0,NEAR BAY,0.20132560066280034
-122.29,37.81,23.0,1745.0,374.0,1054,325.0,0.8026,112500.0,NEAR BAY,0.21432664756446992
-122.28,37.8,38.0,684.0,176.0,344,155.0,2.0114,131300.0,NEAR BAY,0.2573099415204678
-122.28,37.81,17.0,924.0,289.0,609,289.0,1.5,162500.0,NEAR BAY,0.31277056277056275
-122.27,37.81,52.0,210.0,56.0,183,56.0,1.1667,112500.0,NEAR BAY,0.26666666666666666
-122.28,37.81,52.0,340.0,97.0,200,87.0,1.5208,112500.0,NEAR BAY,0.2852941176470588
-122.28,37.81,52.0,386.0,164.0,346,155.0,0.8075,137500.0,NEAR BAY,0.42487046632124353
-122.28,37.81,35.0,948.0,184.0,467,169.0,1.8088,118800.0,NEAR BAY,0.1940928270042194
-122.28,37.81,52.0,773.0,143.0,377,115.0,2.4083,98200.0,NEAR BAY,0.18499353169469598
-122.27,37.81,40.0,880.0,451.0,582,380.0,0.977,118800.0,NEAR BAY,0.5125
-122.27,37.81,10.0,875.0,348.0,546,330.0,0.76,162500.0,NEAR BAY,0.3977142857142857
-122.27,37.8,10.0,105.0,42.0,125,39.0,0.9722,137500.0,NEAR BAY,0.4
-122.27,37.8,52.0,249.0,78.0,396,85.0,1.2434,500001.0,NEAR BAY,0.3132530120481928
-122.27,37.8,16.0,994.0,392.0,800,362.0,2.0938,162500.0,NEAR BAY,0.39436619718309857
-122.28,37.8,52.0,215.0,87.0,904,88.0,0.8668,137500.0,NEAR BAY,0.4046511627906977
-122.28,37.8,52.0,96.0,31.0,191,34.0,0.75,162500.0,NEAR BAY,0.3229166666666667
-122.27,37.79,27.0,1055.0,347.0,718,302.0,2.6354,187500.0,NEAR BAY,0.3289099526066351
-122.27,37.8,39.0,1715.0,623.0,1327,467.0,1.8477,179200.0,NEAR BAY,0.363265306122449
-122.26,37.8,36.0,5329.0,2477.0,3469,2323.0,2.0096,130000.0,NEAR BAY,0.4648151623193845
-122.26,37.82,31.0,4596.0,1331.0,2048,1180.0,2.8345,183800.0,NEAR BAY,0.28959965187119235
-122.26,37.81,29.0,335.0,107.0,202,91.0,2.0062,125000.0,NEAR BAY,0.3194029850746269
-122.26,37.82,22.0,3682.0,1270.0,2024,1250.0,1.2185,170000.0,NEAR BAY,0.3449212384573601
-122.26,37.82,37.0,3633.0,1085.0,1838,980.0,2.6104,193100.0,NEAR BAY,0.29865125240847784
-122.25,37.81,29.0,4656.0,1414.0,2304,1250.0,2.4912,257800.0,NEAR BAY,0.30369415807560135
-122.25,37.81,28.0,5806.0,1603.0,2563,1497.0,3.2177,273400.0,NEAR BAY,0.27609369617636925
-122.25,37.81,39.0,854.0,242.0,389,228.0,3.125,237500.0,NEAR BAY,0.28337236533957844
-122.25,37.81,52.0,2155.0,701.0,895,613.0,2.5795,350000.0,NEAR BAY,0.3252900232018561
-122.26,37.81,34.0,5871.0,1914.0,2689,1789.0,2.8406,335700.0,NEAR BAY,0.3260091977516607
-122.24,37.82,52.0,1509.0,225.0,674,244.0,4.9306,313400.0,NEAR BAY,0.14910536779324055
-122.24,37.81,52.0,2026.0,482.0,709,456.0,3.2727,268500.0,NEAR BAY,0.23790720631786771
-122.25,37.81,52.0,1758.0,460.0,686,422.0,3.1691,259400.0,NEAR BAY,0.2616609783845279
-122.24,37.82,52.0,3481.0,751.0,1444,718.0,3.9,275700.0,NEAR BAY,0.21574260270037346
-122.25,37.82,28.0,3337.0,855.0,1520,802.0,3.9063,225000.0,NEAR BAY,0.25621816002397363
-122.25,37.82,52.0,1424.0,289.0,550,253.0,5.0917,262500.0,NEAR BAY,0.2029494382022472
-122.25,37.82,32.0,3809.0,1098.0,1806,1022.0,2.6429,218500.0,NEAR BAY,0.28826463638750327
-122.25,37.82,26.0,3959.0,1196.0,1749,1217.0,3.0233,255000.0,NEAR BAY,0.30209648901237685
-122.25,37.83,52.0,2376.0,559.0,939,519.0,3.1484,224100.0,NEAR BAY,0.23526936026936027
-122.25,37.83,35.0,1613.0,428.0,675,422.0,3.4722,243100.0,NEAR BAY,0.2653440793552387
-122.25,37.83,52.0,1279.0,287.0,534,291.0,3.1429,231600.0,NEAR BAY,0.22439405785770133
-122.25,37.83,28.0,5022.0,1750.0,2558,1661.0,2.4234,218500.0,NEAR BAY,0.34846674631620866
-122.25,37.83,52.0,4190.0,1105.0,1786,1037.0,3.0897,234100.0,NEAR BAY,0.2637231503579952
-122.23,37.84,50.0,2515.0,399.0,970,373.0,5.8596,327600.0,NEAR BAY,0.15864811133200796
-122.23,37.84,47.0,3175.0,454.0,1098,485.0,5.2868,347600.0,NEAR BAY,0.14299212598425196
-122.24,37.83,41.0,2576.0,406.0,794,376.0,5.956,366100.0,NEAR BAY,0.15760869565217392
-122.24,37.85,37.0,334.0,54.0,98,47.0,4.9643,335000.0,NEAR BAY,0.16167664670658682
-122.23,37.85,52.0,2800.0,411.0,1061,403.0,6.3434,373600.0,NEAR BAY,0.1467857142857143
